Date,Category,Payment_Mode,Description,Amount,Cashback
1/1/2024,Food,Debit Card,Dinner delivery from zomato,680.54,0
1/1/2024,Shopping,UPI,Purchased electronics,740.19,0
1/2/2024,Shopping,UPI,Purchased electronics,94.97,0
1/2/2024,Entertainment,UPI,Gaming console purchase,100.81,0
1/2/2024,Transportation,Netbanking,Fuel refilled for the bike,384.44,0
1/2/2024,Transportation,Netbanking,Uber ride to the office,231.5,0
1/2/2024,Food,Debit Card,Had lunch at hotel,943.08,7.53
1/2/2024,Entertainment,Cash,Gaming console purchase,268.43,0
1/3/2024,Groceries,UPI,Grocery shopping at the local store,241.53,0
1/3/2024,Entertainment,Cash,Gaming console purchase,688.75,0
1/3/2024,Groceries,Cash,Purchased daily essentials,402.69,3.21
1/3/2024,Food,Netbanking,Had lunch at hotel,785.06,0
1/3/2024,Shopping,Debit Card,Bought household items,860.42,0
1/3/2024,Shopping,Netbanking,Bought a gift for a friend's birthday,818,0
1/3/2024,Groceries,Credit Card,Bought fresh fruits and snacks,863.83,0
1/3/2024,Transportation,Debit Card,Bought a metro ticket for travel,957.41,0
1/4/2024,Medical Health,UPI,Doctor's consultation fee,479.32,0
1/4/2024,Investment,Netbanking,Invested in stocks,218.99,7.58
1/4/2024,Shopping,Cash,Shopping for accessories,669.85,0
1/4/2024,Entertainment,Credit Card,Concert tickets,376.33,0
1/4/2024,Medical Health,UPI,Doctor's consultation fee,649.1,0
1/5/2024,Transportation,Credit Card,Uber ride to the office,618.76,0
1/5/2024,Shopping,Debit Card,Shopping for accessories,862.27,0
1/5/2024,Food,Netbanking,Ordered food from swiggy,769.51,9.77
1/5/2024,Transportation,Debit Card,Paid for train ticket,707.15,0
1/5/2024,Medical Health,Credit Card,Medical insurance payment,782.23,0
1/5/2024,Medical Health,Netbanking,Health checkup cost,327.24,2.04
1/6/2024,Investment,Netbanking,Investment in gold,294.39,0
1/6/2024,Food,Netbanking,Had dinner at a restaurant with friends,321.76,0
1/6/2024,Investment,Netbanking,Invested in stocks,982.06,0
1/7/2024,Investment,Netbanking,Bought mutual fund units,243.9,6.06
1/7/2024,Shopping,UPI,Bought a gift for a friend's birthday,997.61,6.1
1/7/2024,Food,UPI,Ordered food from swiggy,607.43,0
1/7/2024,Shopping,Cash,Bought household items,606.09,0
1/7/2024,Investment,Debit Card,Purchased bonds,333.38,3.24
1/7/2024,Entertainment,Credit Card,Movie tickets,720.11,5.14
1/7/2024,Entertainment,UPI,Gaming console purchase,72.92,0
1/7/2024,Investment,Netbanking,Purchased bonds,198.22,0
1/7/2024,Food,Cash,Dinner delivery from zomato,939.58,0
1/7/2024,Groceries,Debit Card,Purchased daily essentials,204.89,0
1/8/2024,Shopping,Cash,Bought a gift for a friend's birthday,644.48,0
1/8/2024,Transportation,Netbanking,Fuel refilled for the bike,470.56,0
1/8/2024,Investment,Credit Card,Investment in gold,212.2,0
1/8/2024,Entertainment,UPI,Concert tickets,928.66,0
1/8/2024,Medical Health,UPI,Doctor's consultation fee,195.17,0
1/8/2024,Investment,Netbanking,Bought mutual fund units,337.19,0
1/8/2024,Food,Debit Card,Dinner delivery from zomato,998.5,0
1/8/2024,Entertainment,UPI,Movie tickets,462.17,0
1/8/2024,Groceries,Credit Card,Grocery shopping at the local store,125.58,0
1/9/2024,Investment,Cash,Purchased bonds,830.82,0
1/9/2024,Investment,Netbanking,Investment in gold,800.87,0
1/9/2024,Shopping,Cash,Bought a gift for a friend's birthday,118.08,0
1/9/2024,Food,Credit Card,Took out a meal from a restaurant,436.1,5.9
1/9/2024,Transportation,UPI,Paid for train ticket,820.7,0
1/9/2024,Food,Cash,Had dinner at a restaurant with friends,355.71,3.36
1/9/2024,Shopping,Cash,Bought a gift for a friend's birthday,18.88,5.02
1/9/2024,Transportation,Credit Card,Bought a metro ticket for travel,507.07,0
1/9/2024,Transportation,Netbanking,Paid for a cab ride to work,626.68,0
1/9/2024,Shopping,Credit Card,Bought clothes,21.63,0
1/9/2024,Medical Health,Credit Card,Medical insurance payment,157.01,1.69
1/9/2024,Medical Health,Credit Card,Doctor's consultation fee,155.54,0
1/9/2024,Entertainment,Cash,Gaming console purchase,331.32,0
1/10/2024,Food,Debit Card,Had dinner at a restaurant with friends,113.44,2.08
1/10/2024,Groceries,Debit Card,Bought fresh fruits and snacks,422.41,1.04
1/10/2024,Shopping,Netbanking,Bought household items,631.44,0.55
1/10/2024,Food,UPI,Had dinner at a restaurant with friends,504.3,0
1/10/2024,Investment,Cash,Purchased bonds,550.08,0
1/10/2024,Medical Health,Credit Card,Health checkup cost,528.22,0
1/10/2024,Groceries,Credit Card,Bought vegetables and fruits,604.18,0
1/10/2024,Entertainment,Netbanking,Gaming console purchase,568.37,0
1/10/2024,Groceries,Netbanking,Bought vegetables and fruits,552.46,0
1/11/2024,Transportation,Netbanking,Paid for a cab ride to work,953.13,0
1/11/2024,Transportation,Netbanking,Fuel refilled for the bike,693.04,0
1/11/2024,Medical Health,UPI,Doctor's consultation fee,303.96,0
1/11/2024,Medical Health,Credit Card,Health checkup cost,74.71,0
1/11/2024,Groceries,Cash,Bought vegetables and fruits,682.84,0
1/11/2024,Medical Health,Cash,Doctor's consultation fee,329.15,0
1/12/2024,Entertainment,Cash,Gaming console purchase,847.97,0
1/12/2024,Shopping,Debit Card,Purchased electronics,650.75,0
1/12/2024,Groceries,Debit Card,Grocery shopping at the local store,795.25,0
1/12/2024,Transportation,Credit Card,Bought a metro ticket for travel,449.07,0
1/12/2024,Shopping,Debit Card,Purchased electronics,949.97,0
1/12/2024,Transportation,Credit Card,Bought a metro ticket for travel,517.59,0
1/12/2024,Food,Credit Card,Dinner delivery from zomato,354.61,0
1/12/2024,Entertainment,Netbanking,Movie tickets,556.04,0
1/12/2024,Entertainment,Credit Card,Movie tickets,38.76,0
1/13/2024,Entertainment,Netbanking,Movie tickets,329.45,8.87
1/13/2024,Food,Credit Card,Dinner delivery from zomato,602.59,0
1/13/2024,Shopping,Debit Card,Purchased electronics,51.66,0
1/13/2024,Shopping,UPI,Bought household items,119.24,6.33
1/13/2024,Groceries,Credit Card,Bought vegetables and fruits,241.99,0
1/13/2024,Shopping,UPI,Bought household items,105.99,0
1/14/2024,Shopping,Cash,Shopping for accessories,975.6,0
1/14/2024,Investment,Netbanking,Invested in stocks,115.46,0
1/14/2024,Investment,Credit Card,Investment in gold,730.11,0
1/14/2024,Food,Cash,Dinner delivery from zomato,817.88,0
1/14/2024,Medical Health,Debit Card,Doctor's consultation fee,453.09,0
1/14/2024,Groceries,Debit Card,Purchased daily essentials,103.38,0
1/14/2024,Groceries,Netbanking,Bought vegetables and fruits,681.45,0
1/14/2024,Medical Health,Cash,Health checkup cost,858.19,0
1/14/2024,Transportation,Debit Card,Fuel refilled for the bike,254.83,0
1/14/2024,Medical Health,Cash,Medical insurance payment,812.46,0
1/14/2024,Food,UPI,Had lunch at hotel,545.58,3.59
1/15/2024,Entertainment,Debit Card,Concert tickets,885.17,0
1/15/2024,Entertainment,Credit Card,Gaming console purchase,242.26,0
1/15/2024,Groceries,Cash,Purchased daily essentials,483.61,8.71
1/16/2024,Groceries,UPI,Bought vegetables and fruits,280.46,0
1/16/2024,Transportation,Netbanking,Uber ride to the office,871.91,0
1/16/2024,Groceries,Netbanking,Purchased daily essentials,331.67,0
1/16/2024,Investment,Cash,Bought mutual fund units,97.73,0
1/17/2024,Medical Health,Netbanking,Medical insurance payment,610.45,0
1/17/2024,Shopping,Debit Card,Bought a gift for a friend's birthday,588.72,0
1/17/2024,Medical Health,Debit Card,Bought medication,818.15,0
1/17/2024,Investment,Netbanking,Purchased bonds,941.15,0
1/17/2024,Groceries,Cash,Bought fresh fruits and snacks,810.77,0
1/17/2024,Medical Health,Debit Card,Medical insurance payment,396.56,0
1/17/2024,Food,Debit Card,Took out a meal from a restaurant,122.27,0
1/18/2024,Medical Health,UPI,Doctor's consultation fee,908.65,0
1/18/2024,Shopping,Debit Card,Bought household items,558.84,0
1/18/2024,Investment,Credit Card,Purchased bonds,537.45,0
1/18/2024,Shopping,UPI,Shopping for accessories,545.66,0
1/18/2024,Groceries,UPI,Bought vegetables and fruits,571.61,2.96
1/18/2024,Shopping,UPI,Bought clothes,634.36,0
1/18/2024,Transportation,Debit Card,Paid for a cab ride to work,399.49,3.43
1/18/2024,Investment,Credit Card,Investment in gold,604.55,0
1/19/2024,Entertainment,Credit Card,Concert tickets,277.51,0
1/19/2024,Investment,Debit Card,Invested in stocks,840.56,0
1/19/2024,Shopping,UPI,Bought household items,881.29,5.86
1/19/2024,Food,UPI,Dinner delivery from zomato,513.62,0
1/20/2024,Transportation,UPI,Paid for train ticket,245.11,0
1/20/2024,Groceries,Netbanking,Grocery shopping at the local store,710.39,0
1/20/2024,Shopping,Netbanking,Bought a gift for a friend's birthday,959.3,0
1/20/2024,Investment,Debit Card,Bought mutual fund units,593.49,2.08
1/20/2024,Food,UPI,Had lunch at hotel,234.28,0
1/20/2024,Investment,Cash,Invested in stocks,209.02,2.94
1/21/2024,Investment,Netbanking,Bought mutual fund units,625.1,0
1/21/2024,Entertainment,Debit Card,Gaming console purchase,712.33,0
1/21/2024,Investment,UPI,Purchased bonds,496.76,0.66
1/21/2024,Groceries,Cash,Bought vegetables and fruits,177.03,0
1/21/2024,Transportation,Cash,Paid for a cab ride to work,591.27,0
1/22/2024,Groceries,Debit Card,Bought vegetables and fruits,311.98,0
1/22/2024,Entertainment,Cash,Movie tickets,373.15,0
1/22/2024,Food,Cash,Had dinner at a restaurant with friends,65.59,0
1/22/2024,Food,Cash,Dinner delivery from zomato,268.45,0
